,budget,cast,close,director,gross,mpaa,open,opening_gross,opening_theaters,rank,rating,season,studio,title,year,June-Sep,Oct-Nov,Jan-May,Dec,mpaa_new,PG,R,PG-13,prol_studio,Tier_2
1287468,85000000.0,,10/21,,43585753.0,Rated PG for animal action and humor,7/30,12279363.0,3705.0,72,4.3,June-Sep,WB,Cats & Dogs: The Revenge of Kitty Galore,2010,True,False,False,False,PG,True,False,False,False,False
2083383,60000000.0,,12/13,,35763137.0,"Rated PG-13 for language, sexual references, some thematic material and smoking",9/21,12162040.0,3212.0,89,6.8,June-Sep,WB,Trouble with the Curve,2012,True,False,False,False,PG-13,False,False,True,False,False
0765446,40000000.0,,7/25,,57012977.0,Rated PG for action and some mild rude humor,2/15,15891055.0,3288.0,61,5.9,Jan-May,Wein.,Escape From Planet Earth,2013,False,False,True,False,PG,True,False,False,False,False
1480656,8900000.0,,6/21,,211440.0,"Rated R for some strong sexual content including graphic nudity, violence and language",5/18,16568.0,3.0,298,5.0,Jan-May,IFC,Polisse,2012,False,False,True,False,R,False,True,False,False,False
1646971,145000000.0,,12/11,,177002924.0,Rated PG for adventure action and some mild rude  humor,6/13,49451322.0,4253.0,17,7.9,June-Sep,Fox,How to Train Your Dragon 2,2014,True,False,False,False,PG,True,False,False,False,False
1270262,19100000.0,,9/29,,1361512.0,"Rated R for strong brutal bloody violence and torture, sexual content, graphic nudity, drug use and pervasive language",7/29,96414.0,5.0,197,7.1,June-Sep,LGF,The Devil's Double,2011,True,False,False,False,R,False,True,False,False,False
1222817,80000000.0,,10/27,,80360843.0,"Rated PG for some rude and suggestive humor, and language",7/8,20065617.0,3482.0,40,5.2,June-Sep,Sony,Zookeeper,2011,True,False,False,False,PG,True,False,False,False,False
1210819,275000000.0,,10/10,,89302115.0,"Rated PG-13 for sequences of intense action and violence, and some suggestive material",7/3,29210849.0,3904.0,40,6.5,June-Sep,BV,The Lone Ranger,2013,True,False,False,False,PG-13,False,False,True,False,True
1742044,40000000.0,,9/25,,47047013.0,Rated R for language  throughout,6/20,13319371.0,2905.0,71,6.9,June-Sep,WB,Jersey Boys,2014,True,False,False,False,R,False,True,False,False,False
1321860,21000000.0,,6/30,,970816.0,"Rated PG-13 for mature thematic material, some disturbing content, sexuality and language including a drug reference",5/6,107577.0,22.0,216,6.7,Jan-May,Sum.,The Beaver,2011,False,False,True,False,PG-13,False,False,True,False,False
2267998,61000000.0,,2/26,,167767189.0,"Rated R for a scene of bloody violence, some strong sexual content/nudity, and language",10/3,37513109.0,3014.0,18,8.2,Oct-Nov,Fox,Gone Girl,2014,False,True,False,False,R,False,True,False,False,False
1710396,27500000.0,,3/22,,30932113.0,Rated PG-13 for some language including a sexual reference,1/13,11225190.0,2735.0,98,5.6,Jan-May,WB,Joyful Noise,2012,False,False,True,False,PG-13,False,False,True,False,False
1633356,25000000.0,,11/24,,18877153.0,"Rated PG-13 for violence and terror, disturbing images, sexual references, partial nudity, language and thematic material",9/2,8404260.0,2806.0,121,4.0,June-Sep,Rela.,Shark Night 3D,2011,True,False,False,False,PG-13,False,False,True,False,False
1336608,70000000.0,,8/16,,38518613.0,"Rated PG-13 for sexual content, suggestive dancing, some heavy drinking, and language",6/15,14437269.0,3470.0,84,5.9,June-Sep,WB (NL),Rock of Ages,2012,True,False,False,False,PG-13,False,False,True,False,False
1194417,12500000.0,,4/7,,1042959.0,"Rated R for pervasive language, some violence and brief nudity",12/17,34528.0,7.0,194,6.2,Dec,ATO,Casino Jack,2010,False,False,False,True,R,False,True,False,False,False
0775552,45000000.0,,11/22,,25200412.0,"Rated PG for action violence, some suggestive humor and language",7/31,8008423.0,3106.0,102,5.4,June-Sep,Fox,Aliens in the Attic,2009,True,False,False,False,PG,True,False,False,False,False
1840417,6000000.0,,10/4,,11494838.0,Rated PG-13 for brief strong language and smoking (cut),9/7,4750894.0,2801.0,135,7.1,June-Sep,CBS,The Words,2012,True,False,False,False,PG-13,False,False,True,False,False
0480687,68000000.0,,5/12,,45060734.0,"Rated R for crude and sexual humor throughout, language, some graphic nudity and drug use",2/25,13535374.0,2950.0,70,5.9,Jan-May,WB (NL),Hall Pass,2011,False,False,True,False,R,False,True,False,False,False
1904996,35000000.0,,4/4,,17616641.0,"Rated R for strong violence, language throughout and brief sexual content/nudity",1/25,7008222.0,2224.0,118,6.2,Jan-May,FD,Parker,2013,False,False,True,False,R,False,True,False,False,False
2884206,1000000.0,,8/21,,336472.0,"Rated R for some sexuality/nudity, and language",7/18,27652.0,4.0,276,7.3,June-Sep,FoxS,I Origins,2014,True,False,False,False,R,False,True,False,False,False
