,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
146,1189340,0.0,0.0,0.0,3.0,3.0,1,28,The Lincoln Lawyer,2011,2
147,1136608,0.0,0.0,1.0,3.0,4.0,2,60,District 9,2009,2
148,1268799,0.0,0.0,0.0,3.0,3.0,3,67,A Very Harold & Kumar 3D Christmas,2011,2
149,1684628,0.0,0.0,0.0,0.0,2.0,2,44,Circumstance,2011,2
150,1305583,0.0,0.0,0.0,1.0,1.0,1,21,Our Family Wedding,2010,1
151,473705,0.0,0.0,0.0,3.0,3.0,1,61,State of Play,2009,1
152,1528100,1.0,0.0,0.0,3.0,2.0,0,20,Exodus: Gods and Kings,2014,1
153,1322312,0.0,0.0,0.0,3.0,3.0,2,67,Going the Distance,2010,2
154,1440728,0.0,0.0,0.0,3.0,3.0,2,19,The American,2010,2
155,1244659,0.0,0.0,0.0,2.0,3.0,1,12,Extraordinary Measures,2010,0
156,1730687,0.0,0.0,0.0,0.0,1.0,1,53,Darling Companion,2012,1
157,1067583,0.0,0.0,0.0,3.0,3.0,1,20,Water for Elephants,2011,1
158,1545106,0.0,0.0,0.0,0.0,2.0,3,6,Vamps,2012,1
159,1134854,0.0,0.0,0.0,0.0,1.0,1,32,George A. Romero's Survival of the Dead,2010,2
160,1043726,0.0,0.0,0.0,2.0,1.0,1,27,The Legend of Hercules,2014,1
161,2015381,1.0,2.0,2.0,4.0,4.0,2,11,Guardians of the Galaxy,2014,1
162,1160368,0.0,0.0,0.0,0.0,2.0,1,53,12,2009,1
163,2582846,0.0,0.0,1.0,3.0,4.0,2,20,The Fault in our Stars,2014,1
164,790736,1.0,0.0,0.0,3.0,2.0,2,61,R.I.P.D.,2013,1
165,1407061,0.0,0.0,0.0,2.0,2.0,1,21,Just Wright,2010,0
166,1604171,0.0,0.0,0.0,3.0,2.0,1,11,Prom,2011,0
167,1433822,0.0,0.0,0.0,0.0,1.0,2,66,The Apparition,2012,1
168,1403981,0.0,0.0,0.0,2.0,3.0,1,57,Remember Me,2010,1
169,1226229,0.0,0.0,0.0,3.0,3.0,2,61,Get Him to the Greek,2010,2
170,1307068,0.0,0.0,0.0,1.0,3.0,2,19,Seeking a Friend for the End of the World,2012,2
171,1623205,2.0,1.0,2.0,4.0,3.0,1,11,Oz The Great and Powerful,2013,0
172,477080,1.0,0.0,0.0,3.0,3.0,3,20,Unstoppable,2010,1
173,1135503,0.0,0.0,0.0,0.0,3.0,1,32,Julia ,2009,1
174,829150,0.0,0.0,0.0,3.0,3.0,3,61,Dracula Untold,2014,1
175,1228987,0.0,0.0,0.0,2.0,3.0,3,37,Let Me In,2010,2
176,1155056,0.0,0.0,0.0,3.0,3.0,1,38,"I Love You, Man",2009,2
177,1438176,0.0,0.0,0.0,3.0,3.0,2,11,Fright Night ,2011,2
178,1302011,1.0,1.0,1.0,4.0,3.0,1,38,Kung Fu Panda 2,2011,0
179,780511,0.0,0.0,0.0,2.0,3.0,0,33,Everybody's Fine,2009,1
180,1885265,0.0,0.0,0.0,2.0,2.0,1,28,Tyler Perry's Good Deeds,2012,1
181,1327194,0.0,0.0,0.0,3.0,3.0,1,66,The Lucky One,2012,1
182,1120985,0.0,0.0,0.0,0.0,3.0,0,68,Blue Valentine,2010,2
183,787474,0.0,0.0,0.0,3.0,3.0,2,19,The Boxtrolls,2014,0
184,1258972,0.0,0.0,0.0,2.0,2.0,3,61,The Man with the Iron Fists,2012,2
185,1554091,0.0,0.0,0.0,0.0,3.0,2,57,A Better Life,2011,1
186,1399683,0.0,0.0,0.0,0.0,3.0,2,44,Winter's Bone,2010,2
187,1470023,0.0,0.0,0.0,2.0,2.0,1,61,MacGruber,2010,2
188,1355630,0.0,0.0,0.0,3.0,3.0,2,66,If I Stay,2014,1
189,1433108,0.0,0.0,0.0,2.0,3.0,3,12,Faster,2010,2
190,1592525,0.0,0.0,0.0,2.0,2.0,1,17,Lockout,2012,1
191,1229340,0.0,0.0,0.0,3.0,3.0,0,42,Anchorman 2: The Legend Continues,2013,1
192,971209,0.0,0.0,0.0,2.0,3.0,2,61,A Perfect Getaway,2009,2
193,2387433,0.0,0.0,0.0,2.0,3.0,1,65,Dark Skies,2013,1
194,2091473,0.0,0.0,0.0,0.0,3.0,0,19,Promised Land ,2012,2
195,879870,0.0,0.0,0.0,3.0,2.0,2,56,Eat Pray Love,2010,1
196,1038919,0.0,0.0,0.0,3.0,2.0,1,56,The Bounty Hunter,2010,1
197,1272878,0.0,0.0,0.0,3.0,3.0,2,61,2 Guns,2013,2
198,1335975,2.0,0.0,0.0,3.0,3.0,0,61,47 Ronin,2013,1
199,2113659,0.0,0.0,0.0,0.0,3.0,3,31,Elsa & Fred ,2014,1
200,2334873,0.0,0.0,0.0,0.0,3.0,2,53,Blue Jasmine,2013,1
201,1431181,0.0,0.0,0.0,0.0,3.0,0,53,Another Year,2010,1
202,1661382,0.0,0.0,0.0,3.0,3.0,0,66,Grudge Match,2013,1
203,1279935,0.0,0.0,0.0,3.0,3.0,1,20,Date Night,2010,1
204,1632708,0.0,0.0,0.0,3.0,3.0,2,51,Friends with Benefits,2011,2
205,1401152,0.0,0.0,0.0,3.0,3.0,1,66,Unknown,2011,1
206,770828,2.0,1.0,3.0,4.0,3.0,2,66,Man of Steel,2013,1
207,1441953,0.0,0.0,0.0,0.0,3.0,2,63,Test,2014,1
208,1095217,0.0,0.0,0.0,0.0,3.0,3,18,Bad Lieutenant: Port of Call New Orleans,2009,2
209,989757,0.0,0.0,0.0,3.0,3.0,1,51,Dear John,2010,1
210,1034389,0.0,0.0,0.0,2.0,2.0,1,19,The Eagle,2011,1
211,1232207,0.0,0.0,0.0,0.0,3.0,2,37,Capitalism: A Love Story,2009,2
212,1219342,1.0,0.0,0.0,4.0,3.0,2,66,Legend of the Guardians: The Owls of Ga'Hoole,2010,0
213,1663143,0.0,0.0,0.0,3.0,2.0,3,42,Fun Size,2012,1
214,1586265,0.0,0.0,0.0,3.0,2.0,1,28,What to Expect When You're Expecting,2012,1
215,1194173,1.0,0.0,1.0,4.0,3.0,2,61,The Bourne Legacy,2012,1
216,2398231,0.0,0.0,0.0,0.0,3.0,3,54,The Homesman,2014,2
217,2226519,0.0,0.0,0.0,0.0,2.0,2,25,Plush,2013,2
218,2334649,0.0,0.0,0.0,0.0,3.0,2,68,Fruitvale Station,2013,2
219,471042,0.0,0.0,0.0,3.0,2.0,3,61,Tower Heist,2011,1
220,1637688,0.0,0.0,0.0,3.0,3.0,3,20,In Time,2011,1
221,822847,0.0,0.0,0.0,3.0,2.0,1,51,Priest,2011,1
222,848537,1.0,0.0,0.0,4.0,3.0,1,20,Epic,2013,0
