,Unnamed: 0,budget,gross,opening_gross,opening_theaters,rating,season,studio,title,year,mpaa_new
763,775552,Low,Low,Low,Medium High,Medium,June-Sep,Fox,Aliens in the Attic,2009,PG
764,1840417,Low,Low,Low,Medium High,Medium High,June-Sep,CBS,The Words,2012,PG-13
765,480687,Low,Low,Low,Medium High,Medium,Jan-May,WB (NL),Hall Pass,2011,R
766,1904996,Low,Low,Low,Medium,Medium,Jan-May,FD,Parker,2013,R
767,2884206,Low,Low,Low,Low,Medium High,June-Sep,FoxS,I Origins,2014,R
768,2361700,Low,Low,Low,Low,High,Oct-Nov,MBox,Antarctica: A Year on Ice,2014,PG
769,1571249,Low,Low,Low,Low,Medium High,June-Sep,RAtt.,The Skeleton Twins,2014,R
770,1659337,Low,Low,Low,Low,High,June-Sep,LG/S,The Perks of Being a Wallflower,2012,PG-13
771,492389,Low,Low,Low,Medium High,Low,Jan-May,Sum.,Furry Vengeance,2010,PG
772,1583420,Low,Low,Low,Medium High,Medium,June-Sep,Uni.,Larry Crowne,2011,PG-13
773,1583421,Low Medium,Low,Low Medium,High,Medium,Jan-May,Par.,G.I. Joe: Retaliation,2013,PG-13
774,816711,Medium,Low Medium,Low Medium,High,Medium High,June-Sep,Par.,World War Z,2013,PG-13
775,2170593,Low,Low,Low,Low,Medium High,Oct-Nov,Wein.,St. Vincent,2014,PG-13
776,448694,Low Medium,Low,Low,High,Medium High,Oct-Nov,P/DW,Puss in Boots,2011,PG
777,1622979,Low,Low,Low,Medium High,Medium,June-Sep,WB (NL),Final Destination 5,2011,R
778,1058017,Low,Low,Low,Low Medium,Medium High,Oct-Nov,WB,The Invention of Lying,2009,PG-13
779,758746,Low,Low,Low Medium,Medium High,Medium,Jan-May,WB (NL),Friday the 13th ,2009,R
780,1057500,Low,Low,Low,Medium,Medium High,Dec,WB,Invictus,2009,PG-13
781,1243957,Low Medium,Low,Low,Medium High,Medium,Dec,Sony,The Tourist,2010,PG-13
782,1911644,Low,Low,Low,Medium,Medium High,Jan-May,TriS,The Call,2013,R
783,1686018,Low,Low,Low,Low Medium,Low,June-Sep,BD,Creature ,2011,R
784,1615065,Low,Low,Low,Medium,Medium High,June-Sep,Uni.,Savages ,2012,R
785,2051894,Low,Low,Low,Low,Medium,Jan-May,Gold.,Home Run,2013,PG-13
786,1366365,Low,Low,Low,Low Medium,Low Medium,June-Sep,LG/S,The Cold Light of Day,2012,PG-13
787,2209418,Low,Low,Low,Low,High,Jan-May,SPC,Before Midnight,2013,R
788,1924429,Low,Low,Low,Low,Medium High,Jan-May,FoxS,Trance,2013,R
789,1690953,Low,Medium,Medium,High,Medium High,June-Sep,Uni.,Despicable Me 2,2013,PG
790,1872194,Low,Low,Low,Medium High,Medium High,Oct-Nov,WB,The Judge,2014,R
791,1125929,Low,Low,Low,Low,Medium,June-Sep,E1,Love Ranch,2010,R
792,1124035,Low,Low,Low,Medium,Medium High,Oct-Nov,Sony,The Ides of March,2011,R
793,1599348,Low,Low,Low Medium,Medium High,Medium High,Jan-May,Uni.,Safe House,2012,R
794,1484522,Low,Low,Low,Low,Medium High,June-Sep,RF,8: The Mormon Proposition,2010,R
795,1981115,Low Medium,Low Medium,Medium,High,Medium High,Oct-Nov,BV,Thor: The Dark World,2013,PG-13
796,1877832,Medium,Low Medium,Medium,High,High,Jan-May,Fox,X-Men: Days of Future Past,2014,PG
797,386117,Low Medium,Low,Low,High,Medium High,Oct-Nov,WB,Where the Wild Things Are,2009,PG
798,1212436,Low,Low,Low,Medium High,Medium,Jan-May,CBS,The Back-Up Plan,2010,PG-13
799,1176740,Low,Low,Low,Low,Medium High,June-Sep,Focus,Away We Go,2009,R
800,1183923,Low,Low,Low,Low,Medium High,Oct-Nov,Gold.,Welcome to the Rileys,2010,R
801,2404311,Low,Low,Low,Medium High,Medium High,June-Sep,Rela.,The Family ,2013,R
802,2377322,Low,Low,Low,Medium High,Medium,June-Sep,SGem,Deliver Us From Evil,2014,R
